Epoch,Holiday name,Holiday type
1451606400,New Year's Day,Feriado Nacional
1454716800,Carnival Saturday,Observance
1454803200,Carnival Sunday,Observance
1454889600,Carnival Monday,Optional Holiday
1454976000,Carnival Tuesday,Optional Holiday
1455062400,Carnival end (until 2pm),Optional Holiday
1458432000,March equinox,Season
1458864000,Good Friday,Feriado Nacional
1459036800,Easter Sunday,Observance
1461196800,Tiradentes Day,Feriado Nacional
1462060800,Labor Day / May Day,Feriado Nacional
1462665600,Mother's Day,Observance
1464220800,Corpus Christi,Optional Holiday
1465689600,Lovers' Day,Observance
1466380800,June Solstice,Season
1470355200,Rio 2016 Summer Olympics start,Observance
1471132800,Father's Day,Observance
1471737600,Rio 2016 Summer Olympics end,Observance
1473206400,Independence Day,Feriado Nacional
1473206400,Rio 2016 Summer Paralympics start,Observance
1474156800,Rio 2016 Summer Paralympics end,Observance
1474502400,September equinox,Season
1476230400,Our Lady Aparecida/Children's Day,Feriado Nacional
1476489600,Teachers' Day,Observance
1477612800,Public Service Holiday,Optional Holiday
1478044800,All Souls Day,Feriado Nacional
1479168000,Republic Proclamation Day,Feriado Nacional
1479600000,Black Consciousness Day,Observance
1482278400,December Solstice,Season
1482537600,Christmas Eve (from 2pm),Optional Holiday
1482624000,Christmas Day,Feriado Nacional
1482710400,Christmas Day observed,Feriado Nacional
1483142400,New Year's Eve (from 2pm),Optional Holiday
