Epoch,Holiday name,Holiday type
1458864000,Maryland Day,Local observance
1458864000,Prince Jonah Kuhio Kalanianaole Day observed,State holiday
1458950400,Holy Saturday,Christian
1458950400,Prince Jonah Kuhio Kalanianaole Day,State holiday
1459036800,Easter Sunday,"Observance, Christian"
1459123200,Easter Monday,Christian
1459123200,Seward's Day,State holiday
1459382400,César Chávez Day,State holiday
1459468800,April Fool's Day,Worldwide observance
1459468800,Pascua Florida Day observed,Local observance
1459555200,World Autism Awareness Day,United Nations observance
1459555200,Pascua Florida Day,Local observance
1459728000,United Nations' Mine Awareness Day,United Nations observance
1459900800,International Day of Sport for Development and Peace,United Nations observance
1459900800,National Tartan Day,Observance
1459987200,United Nations' World Health Day,United Nations observance
1459987200,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance
1460419200,International Day of Human Space Flight,United Nations observance
1460505600,Thomas Jefferson's Birthday,Observance
1460678400,Global Youth Service Day,Worldwide observance
1460678400,Tax Day,Observance
1460678400,Father Damien Day,Local observance
1460678400,Emancipation Day observed,State holiday
1460764800,Emancipation Day,State holiday
1460937600,International Day for Monuments and Sites,Worldwide observance
1460937600,Patriot's Day,State holiday
1461024000,National Library Workers' Day,Observance
1461110400,Chinese Language Day,United Nations observance
1461196800,San Jacinto Day,State holiday
1461283200,Earth Day,Worldwide observance
1461283200,Oklahoma Day,Local observance
1461369600,Passover (first day),Jewish holiday
1461369600,World Book and Copyright Day,United Nations observance
1461369600,English Language Day,United Nations observance
1461542400,World Malaria Day,United Nations observance
1461542400,Confederate Memorial Day,State holiday
1461542400,State Holiday,State holiday
1461542400,State Holiday,State holiday
1461628800,World Intellectual Property Day,United Nations observance
1461628800,State Holiday,Local observance
1461715200,Administrative Professionals Day,Observance
1461801600,World Day for Safety and Health at Work,United Nations observance
1461801600,Take our Daughters and Sons to Work Day,Observance
1461888000,Orthodox Good Friday,Orthodox
1461888000,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance
1461888000,Arbor Day,State holiday
1461974400,Last Day of Passover,Jewish holiday
1461974400,Orthodox Holy Saturday,Orthodox
1461974400,International Jazz Day,United Nations observance
1462060800,Orthodox Easter,Orthodox
1462060800,Law Day,Observance
1462060800,Loyalty Day,Observance
1462147200,Orthodox Easter Monday,Orthodox
1462233600,World Press Freedom Day,United Nations observance
1462320000,Yom HaShoah,Jewish holiday
1462320000,Kent State Shootings Remembrance,Local observance
1462320000,Rhode Island Independence Day,Local observance
1462406400,Ascension Day,Christian
1462406400,Isra and Mi'raj,Muslim
1462406400,Cinco de Mayo,Observance
1462406400,National Day of Prayer,Observance
1462492800,National Nurses Day,Observance
1462579200,National Explosive Ordnance Disposal (EOD) Day,Observance
1462665600,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance
1462665600,World Ovarian Cancer Day,Worldwide observance
1462665600,Mother's Day,Observance
1462665600,Truman Day,State holiday
1462752000,Truman Day observed,State holiday
1462838400,State Holiday,State holiday
1462838400,State Holiday,Local observance
1462838400,Primary Election Day West Virginia,State holiday
1463011200,Yom Ha'atzmaut,Jewish holiday
1463097600,Friday the 13th,Worldwide observance
1463184000,World Migratory Bird Day,United Nations observance
1463270400,Pentecost,Christian
1463270400,International Day of Families,United Nations observance
1463270400,Peace Officers Memorial Day,Observance
1463356800,Whit Monday,Christian
1463443200,World Information Society Day,United Nations observance
1463702400,Day of Vesak,United Nations observance
1463702400,World Autoimmune Arthritis Day,Worldwide observance
1463702400,National Defense Transportation Day,Observance
1463788800,World Day for Cultural Diversity for Dialogue and Development,United Nations observance
1463788800,Armed Forces Day,Observance
1463875200,Trinity Sunday,Christian
1463875200,International Day for Biological Diversity,United Nations observance
1463875200,National Maritime Day,Observance
1463875200,Harvey Milk Day,Local observance
1463961600,International Day to End Obstetric Fistula,United Nations observance
1464134400,African Liberation Day,Worldwide observance
1464134400,Emergency Medical Services for Children Day,Observance
1464134400,National Missing Children's Day,Observance
1464220800,Corpus Christi,Christian
1464220800,Lag BaOmer,Jewish holiday
1464480000,International Day of United Nations Peacekeepers,United Nations observance
1464566400,Memorial Day,National holiday
1464566400,Jefferson Davis Birthday,Local observance
1464652800,World No Tobacco Day,United Nations observance
1464739200,Global Day of Parents,United Nations observance
1464739200,Statehood Day,Local observance
1464912000,Jefferson Davis Birthday,Local observance
1464998400,International Day of Innocent Children Victims of Aggression,United Nations observance
1465084800,World Environment Day,United Nations observance
1465084800,Doughnut Day,Observance
1465171200,Jefferson Davis Birthday,State holiday
1465171200,D-Day,Observance
1465257600,Ramadan starts,Muslim
1465344000,World Oceans Day,United Nations observance
1465516800,Kamehameha Day observed,State holiday
1465603200,Kamehameha Day,State holiday
1465689600,Shavuot,Jewish holiday
1465689600,World Day Against Child Labour,United Nations observance
1465862400,World Blood Donor Day,United Nations observance
1465862400,Flag Day,Observance
1465948800,World Elder Abuse Awareness Day,United Nations observance
1466121600,World Day to Combat Desertification and Drought,United Nations observance
1466121600,Bunker Hill Day,State holiday
1466294400,Father's Day,Observance
1466294400,Juneteenth,Local observance
1466294400,Emancipation Day,State holiday
1466380800,June Solstice,Season
1466380800,World Refugee Day,United Nations observance
1466380800,West Virginia Day,State holiday
1466380800,American Eagle Day,Observance
1466640000,Public Service Day,United Nations observance
1466640000,International Widows' Day,United Nations observance
1466812800,Day of the Seafarer,United Nations observance
1466899200,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance
1466899200,International Day in Support of Victims of Torture,United Nations observance
1467417600,Lailat al-Qadr,Muslim
1467417600,International Day of Cooperatives,United Nations observance
1467590400,Independence Day,National holiday
1467849600,Eid al-Fitr,Muslim
1468195200,World Population Day,United Nations observance
1468800000,Nelson Mandela Day,United Nations observance
1469318400,Pioneer Day,State holiday
1469318400,Parents' Day,Observance
1469404800,Pioneer Day observed,State holiday
1469664000,World Hepatitis Day,United Nations observance
1469836800,International Day of Friendship,United Nations observance
1470009600,Colorado Day,Local observance
1470528000,Purple Heart Day,Observance
1470614400,Victory Day,State holiday
1470700800,International Day of the World's Indigenous People,United Nations observance
1470960000,International Youth Day,United Nations observance
1471132800,Tisha B'Av,Jewish holiday
1471219200,Assumption of Mary,Christian
1471305600,Bennington Battle Day,State holiday
1471564800,World Humanitarian Day,United Nations observance
1471564800,Statehood Day in Hawaii,State holiday
1471564800,National Aviation Day,Observance
1471737600,Senior Citizens Day,Observance
1471910400,International Day for the Remembrance of the Slave Trade and its Abolition,United Nations observance
1472169600,Women's Equality Day,Observance
1472256000,Lyndon Baines Johnson Day,State holiday
1472428800,International Day against Nuclear Tests,United Nations observance
1472515200,International Day of the Victims of Enforced Disappearances,United Nations observance
1472601600,International Overdose Awareness Day,Worldwide observance
1472947200,World Sexual Health Day,Worldwide observance
1473033600,International Day of Charity,United Nations observance
1473033600,Labor Day,National holiday
1473292800,International Literacy Day,United Nations observance
1473379200,California Admission Day,Local observance
1473465600,World Suicide Prevention Day,United Nations observance
1473465600,Carl Garner Federal Lands Cleanup Day,Observance
1473552000,Patriot Day,Observance
1473552000,National Grandparents Day,Observance
1473638400,International Day for South-South Cooperation,United Nations observance
1473638400,International Programmers' Day,Worldwide observance
1473724800,Eid al-Adha,Muslim
1473897600,International Day of Democracy,United Nations observance
1473984000,International Day for the Preservation of the Ozone Layer,United Nations observance
1473984000,Constitution Day and Citizenship Day observed,Observance
1473984000,National POW/MIA Recognition Day,Observance
1474070400,Constitution Day and Citizenship Day,Observance
1474416000,International Day of Peace,United Nations observance
1474502400,September equinox,Season
1474502400,World Maritime Day,United Nations observance
1474502400,Emancipation Day,Local observance
1474588800,International Celebrate Bisexuality Day,Worldwide observance
1474588800,Native Americans' Day,Local observance
1474761600,Gold Star Mother's Day,Observance
1474848000,World Day against Trafficking Persons,United Nations observance
1474848000,International Day for the Total Elimination of Nuclear Weapons,United Nations observance
1474934400,World Tourism Day,United Nations observance
1475020800,World Rabies Day,United Nations observance
1475107200,World Heart Day,United Nations observance
1475280000,International Day of Older Persons,United Nations observance
1475280000,World Vegetarian Day,Worldwide observance
1475366400,International Day of Non-Violence,United Nations observance
1475452800,Rosh Hashana,State holiday
1475452800,Rosh Hashana,Jewish holiday
1475452800,Muharram,Muslim
1475452800,World Habitat Day,United Nations observance
1475452800,Child Health Day,Observance
1475539200,Feast of St Francis of Assisi,Christian
1475625600,World Teachers' Day,United Nations observance
1475625600,World Cerebral Palsy Day,Worldwide observance
1475971200,World Post Day,United Nations observance
1475971200,Leif Erikson Day,Observance
1476057600,World Mental Health Day,United Nations observance
1476057600,Columbus Day,Local observance
1476057600,Columbus Day,National holiday
1476057600,Native Americans' Day,Local observance
1476057600,Indigenous People's Day,Local observance
1476144000,International Day of the Girl Child,United Nations observance
1476230400,Yom Kippur,State holiday
1476230400,Yom Kippur,Jewish holiday
1476230400,International Day for Natural Disaster Reduction,United Nations observance
1476316800,World Sight Day,United Nations observance
1476316800,Navy Birthday,Observance
1476489600,International Day of Rural Women,United Nations observance
1476489600,White Cane Safety Day,Observance
1476576000,World Food Day,United Nations observance
1476662400,First Day of Sukkot,Jewish holiday
1476662400,International Day for the Eradication of Poverty,United Nations observance
1476662400,Boss's Day,Observance
1476748800,Alaska Day,State holiday
1477180800,Last Day of Sukkot,Jewish holiday
1477267200,Shmini Atzeret,Jewish holiday
1477267200,United Nations Day,United Nations observance
1477267200,World Development Information Day,United Nations observance
1477353600,Simchat Torah,Jewish holiday
1477526400,World Day for Audiovisual Heritage,United Nations observance
1477612800,Nevada Day,State holiday
1477699200,World Stroke Day,Worldwide observance
1477872000,Halloween,Observance
1477958400,All Saints' Day,Christian
1477958400,World Vegan Day,Worldwide observance
1478044800,All Souls' Day,Christian
1478044800,International Day to End Impunity for Crimes against Journalists,United Nations observance
1478390400,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,United Nations observance
1478563200,Election Day,State holiday
1478563200,Election Day,Observance
1478736000,World Science Day for Peace and Development,United Nations observance
1478736000,Marine Corps Birthday,Observance
1478736000,Return Day Delaware,State holiday
1478822400,Veterans Day,National holiday
1478908800,World Pneumonia Day,United Nations observance
1479081600,World Diabetes Day,United Nations observance
1479254400,International Day for Tolerance,United Nations observance
1479340800,World Philosophy Day,United Nations observance
1479340800,World Prematurity Day,Worldwide observance
1479513600,World Toilet Day,United Nations observance
1479513600,International Men's Day,Worldwide observance
1479600000,World Day of Remembrance for Road Traffic Victims,United Nations observance
1479600000,Universal Children's Day,United Nations observance
1479600000,Africa Industrialization Day,United Nations observance
1479686400,World Television Day,United Nations observance
1479945600,Thanksgiving Day,National holiday
1480032000,International Day for the Elimination of Violence against Women,United Nations observance
1480032000,State Holiday,State holiday
1480032000,Presidents' Day,State holiday
1480032000,Lincoln's Birthday/Lincoln's Day,State holiday
1480032000,Black Friday,State holiday
1480032000,American Indian Heritage Day,State holiday
1480204800,First Sunday of Advent,Christian
1480291200,Cyber Monday,Observance
1480377600,International Day of Solidarity with the Palestinian People,United Nations observance
1480550400,World AIDS Day,United Nations observance
1480636800,International Day for the Abolition of Slavery,United Nations observance
1480723200,International Day of Persons with Disabilities,United Nations observance
1480896000,International Volunteer Day for Economic and Social Development,United Nations observance
1480896000,World Soil Day,United Nations observance
1480982400,St Nicholas' Day,Observance
1481068800,International Civil Aviation Day,United Nations observance
1481068800,Pearl Harbor Remembrance Day,Observance
1481155200,Feast of the Immaculate Conception,Christian
1481241600,International Anti-Corruption Day,United Nations observance
1481328000,Human Rights Day,United Nations observance
1481414400,International Mountain Day,United Nations observance
1481500800,The Prophet's Birthday,Muslim
1481500800,Feast of Our Lady of Guadalupe,Observance
1481932800,Pan American Aviation Day,Observance
1481932800,Wright Brothers Day,Observance
1482019200,International Migrants Day,United Nations observance
1482019200,Arabic Language Day,United Nations observance
1482192000,International Human Solidarity Day,United Nations observance
1482278400,December Solstice,Season
1482451200,Christmas Eve observed,State holiday
1482537600,Christmas Eve,"Observance, Christian"
1482537600,Christmas Eve,State holiday
1482624000,Chanukah/Hanukkah (first day),Jewish holiday
1482624000,Christmas Day,"National holiday, Christian"
1482710400,Kwanzaa (until Jan 1),Observance
1482710400,Christmas Day observed,"National holiday, Christian"
1482710400,Day After Christmas Day,State holiday
1483056000,New Year's Eve observed,State holiday
1483142400,New Year's Eve,State holiday
1483142400,New Year's Eve,Observance
